标题,采购级别,采购品类,发布时间,详情链接,公告ID
渠县人民医院住院医技综合大楼及片区城市公共停车场建设项目结算审核服务采购项目招标公告,达州市渠县,服务,2025-12-10,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=125838f4-2ec1-4cf0-bc00-89ded49322bf
渠县农业农村局渠县2025年省星级现代农业园区奖补资金-太阳能杀虫灯采购项目招标公告,达州市渠县,货物,2025-12-10,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=454f0091-1baf-4aff-aec9-dcbe4864a58c
中国共产党渠县委员会宣传部2025年农家书屋补充更新竞争性磋商公告,达州市渠县,服务,2025-12-10,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=422c48e5-da75-46b5-a192-db1f59069e31
渠县残疾人联合会2025年渠县困难重度残疾人家庭无障碍改造项目竞争性磋商公告,达州市渠县,货物,2025-12-10,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=6f205021-8e04-44b2-b57d-e56242cbb055
渠县城坝遗址保护和利用中心（渠县汉阙文化博物馆）城坝遗址-津关遗址保护展示项目勘察设计竞争性磋商公告,达州市渠县,服务,2025-12-09,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=a1e4b624-c01b-4044-86fb-668265b8620d
渠县人民医院保安服务项目(二次)招标公告,达州市渠县,服务,2025-12-08,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=dec3a73d-b38b-474c-ab4d-779fac23d310
万源市自然资源局确定2026-2027年地质灾害驻守技术支撑专业服务竞争性磋商公告,达州市万源市,服务,2025-12-18,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=abdef9ad-6664-4f48-ac2b-bc307a452f92
万源市永宁镇人民政府万源市永宁镇天麻加工项目（二期）设备竞争性谈判公告,达州市万源市,货物,2025-12-17,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=6fce980b-f0e8-46a4-bab2-305163d2b746
万源市竹峪中学学术报告厅及功能室升级项目(二次)竞争性磋商公告,达州市万源市,货物,2025-12-15,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=b4bedd28-ab0e-4190-ab48-b795d2b87911
万源市青花镇人民政府养老便民服务中心建设项目询价公告,达州市万源市,货物,2025-12-15,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=7d581560-9a1d-403d-a8bf-25ff5efb1775
